fecha,Chuvia,refacho_max,Temperatura_med
2014-01-01 00:00:00.0,57.8,92.20,11.40
2014-01-02 00:00:00.0,13.6,49.80,12.00
2014-01-03 00:00:00.0,13.4,81.80,11.80
2014-01-04 00:00:00.0,17.6,100.80,8.10
2014-01-05 00:00:00.0,21.4,81.40,11.90
2014-01-06 00:00:00.0,57.0,85.20,11.80
2014-01-07 00:00:00.0,8.8,57.30,11.40
2014-01-08 00:00:00.0,39.0,52.40,12.20
2014-01-09 00:00:00.0,14.6,24.90,9.20
2014-01-10 00:00:00.0,0.0,25.30,9.20
2014-01-11 00:00:00.0,0.0,24.90,8.20
2014-01-12 00:00:00.0,17.4,55.00,9.70
2014-01-13 00:00:00.0,23.2,54.30,7.50
2014-01-14 00:00:00.0,8.2,38.70,11.10
2014-01-15 00:00:00.0,26.4,70.30,10.20
2014-01-16 00:00:00.0,16.2,48.30,7.70
2014-01-17 00:00:00.0,14.2,49.80,7.80
2014-01-18 00:00:00.0,11.4,29.40,6.20
2014-01-19 00:00:00.0,9.8,36.10,5.40
2014-01-20 00:00:00.0,0.6,24.90,6.80
2014-01-21 00:00:00.0,7.6,37.90,9.20
2014-01-22 00:00:00.0,11.0,46.80,7.90
2014-01-23 00:00:00.0,1.6,25.60,8.30
2014-01-24 00:00:00.0,1.8,26.70,9.10
2014-01-25 00:00:00.0,4.0,20.40,11.60
2014-01-26 00:00:00.0,3.0,47.20,11.00
2014-01-27 00:00:00.0,10.2,58.40,6.60
2014-01-28 00:00:00.0,17.4,71.40,7.20
2014-01-29 00:00:00.0,16.6,49.80,6.00
2014-01-30 00:00:00.0,9.2,29.40,6.40
2014-01-31 00:00:00.0,15.6,62.90,10.00
2014-02-01 00:00:00.0,6.6,58.80,6.30
2014-02-02 00:00:00.0,4.0,70.30,6.50
2014-02-03 00:00:00.0,19.2,89.60,6.30
2014-02-04 00:00:00.0,54.8,99.70,7.90
2014-02-05 00:00:00.0,8.0,85.20,8.70
2014-02-06 00:00:00.0,40.2,113.10,10.60
2014-02-07 00:00:00.0,27.6,92.60,8.80
2014-02-08 00:00:00.0,18.2,91.10,7.80
2014-02-09 00:00:00.0,40.6,86.70,6.90
2014-02-10 00:00:00.0,5.0,67.30,6.10
2014-02-11 00:00:00.0,17.8,74.70,8.60
2014-02-12 00:00:00.0,8.6,79.20,9.60
2014-02-13 00:00:00.0,22.6,81.80,11.90
2014-02-14 00:00:00.0,40.4,103.40,10.40
2014-02-15 00:00:00.0,9.0,49.80,5.80
2014-02-16 00:00:00.0,0.6,52.80,5.30
2014-02-17 00:00:00.0,12.2,52.80,7.20
2014-02-18 00:00:00.0,0.6,16.00,7.40
2014-02-19 00:00:00.0,0.4,40.50,9.40
2014-02-20 00:00:00.0,13.6,59.10,9.60
2014-02-21 00:00:00.0,12.6,46.50,6.20
2014-02-22 00:00:00.0,5.6,48.30,9.80
2014-02-23 00:00:00.0,0.0,64.00,11.30
2014-02-24 00:00:00.0,6.2,52.10,8.90
2014-02-25 00:00:00.0,13.6,77.40,8.40
2014-02-26 00:00:00.0,5.2,44.20,7.60
2014-02-27 00:00:00.0,4.0,55.00,11.20
2014-02-28 00:00:00.0,2.4,46.50,9.60
2014-03-01 00:00:00.0,20.4,48.70,10.80
2014-03-02 00:00:00.0,4.8,64.00,10.40
2014-03-03 00:00:00.0,9.4,62.50,7.50
2014-03-04 00:00:00.0,4.2,42.80,8.70
2014-03-05 00:00:00.0,0.0,29.70,10.00
2014-03-06 00:00:00.0,0.0,31.20,11.40
2014-03-07 00:00:00.0,0.0,32.00,12.70
2014-03-08 00:00:00.0,0.0,20.40,15.10
2014-03-09 00:00:00.0,0.0,40.90,15.30
2014-03-10 00:00:00.0,0.0,49.80,16.50
2014-03-11 00:00:00.0,0.0,42.80,13.50
2014-03-12 00:00:00.0,0.0,32.00,13.90
2014-03-13 00:00:00.0,0.0,32.00,13.30
2014-03-14 00:00:00.0,0.0,29.00,9.40
2014-03-15 00:00:00.0,0.0,43.90,11.90
2014-03-16 00:00:00.0,0.0,38.70,14.10
2014-03-17 00:00:00.0,0.0,27.10,12.40
2014-03-18 00:00:00.0,0.0,51.70,10.70
2014-03-19 00:00:00.0,0.0,46.10,13.30
2014-03-20 00:00:00.0,0.0,42.40,10.30
2014-03-21 00:00:00.0,5.8,45.00,10.30
2014-03-22 00:00:00.0,4.6,43.90,7.90
2014-03-23 00:00:00.0,0.8,27.90,7.70
2014-03-24 00:00:00.0,12.6,58.40,9.80
2014-03-25 00:00:00.0,2.6,68.80,8.80
2014-03-26 00:00:00.0,3.4,52.40,7.50
2014-03-27 00:00:00.0,0.0,26.70,6.50
2014-03-28 00:00:00.0,0.0,41.70,8.60
2014-03-29 00:00:00.0,0.8,33.80,9.60
2014-03-30 00:00:00.0,19.4,53.20,9.00
2014-03-31 00:00:00.0,8.4,41.30,11.10
2014-04-01 00:00:00.0,24.0,54.30,10.60
2014-04-02 00:00:00.0,0.4,48.00,10.90
2014-04-03 00:00:00.0,10.4,37.20,9.70
2014-04-04 00:00:00.0,6.6,43.50,11.00
2014-04-05 00:00:00.0,1.4,43.90,13.20
2014-04-06 00:00:00.0,0.0,44.60,13.00
2014-04-07 00:00:00.0,9.0,42.40,12.00
2014-04-08 00:00:00.0,0.0,40.50,12.10
2014-04-09 00:00:00.0,0.0,43.60,17.90
2014-04-10 00:00:00.0,3.9,45.40,17.90
2014-04-11 00:00:00.0,0.0,50.90,14.20
2014-04-12 00:00:00.0,0.0,48.00,12.90
2014-04-13 00:00:00.0,0.0,34.90,16.50
2014-04-14 00:00:00.0,0.0,31.60,17.40
2014-04-15 00:00:00.0,0.0,26.70,18.20
2014-04-16 00:00:00.0,0.0,25.60,16.30
2014-04-17 00:00:00.0,0.0,35.30,16.70
2014-04-18 00:00:00.0,0.0,27.90,13.30
2014-04-19 00:00:00.0,0.0,25.60,12.50
